ID,eif3d_NES,eif3d_pvalue,eif3d_qvalue,eif3e_NES,eif3e_pvalue,eif3e_qvalue,delta
OXIDATIVE_PHOSPHORYLATION,2.1920371037481847,2.6227168702782543e-4,0.004141131900439349,1.7630554218735381,0.0026412945571761587,0.07645852665509935,-0.4289816818746466
PARKINSONS_DISEASE,2.208201146165392,2.3120305444818216e-4,0.004141131900439349,1.5105432671503174,0.014567239390128037,0.15314830375206165,-0.6976578790150747
PROTEASOME,1.9696738220449244,0.004590191771313298,0.02543238545617634,1.3926875538547703,0.08008658008658008,0.20413520902359097,-0.5769862681901541
ALZHEIMERS_DISEASE,1.769962815791761,0.004459550171928808,0.02543238545617634,1.1281408016171726,0.20993227990970656,0.36081347036956046,-0.6418220141745885
BASAL_CELL_CARCINOMA,-1.845111504827501,0.0027882351012691957,0.021143976241843627,-0.8584092075494032,0.6697416974169742,0.6646382253296217,0.9867022972780979
GAP_JUNCTION,-1.702479279505257,0.0035676401375430464,0.024141925742772498,-1.1056169529827173,0.2838095238095238,0.415278703086831,0.5968623265225397
PATHWAYS_IN_CANCER,-1.6239799825110186,8.046073924927175e-4,0.009528245437413761,-1.1242461392693461,0.19480519480519481,0.3483138443444236,0.49973384324167247
NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,-1.748890456049895,0.002901423406519653,0.021143976241843627,-1.2237034339597417,0.13688212927756654,0.28817290374224536,0.5251870220901533
HEDGEHOG_SIGNALING_PATHWAY,-1.839912831872781,0.0045312970174188555,0.02543238545617634,-1.4262510617846809,0.055762081784386616,0.19565642731363725,0.41366177008810023
TGF_BETA_SIGNALING_PATHWAY,-1.6049507325873138,0.0130914130858376,0.04770150517106818,-1.431856303586313,0.07726144008989107,0.20413520902359097,0.1730944290010008
ENDOMETRIAL_CANCER,-1.6653848114403713,0.01270689573617142,0.04770150517106818,-1.4551209458675596,0.08789572647471047,0.20413520902359097,0.21026386557281174
PROSTATE_CANCER,-1.650883726134242,0.01050621396750896,0.04147189724016695,-1.478144032855468,0.05878768945184079,0.19684528018703187,0.17273969327877392
GNRH_SIGNALING_PATHWAY,-1.7089626224991998,0.004832153236673505,0.02543238545617634,-1.5164957265782921,0.04418678239883619,0.19565642731363725,0.1924668959209077
MELANOGENESIS,-1.927695817512886,1.950794652975079e-4,0.004141131900439349,-1.5231200117612034,0.028624403010624862,0.19565642731363725,0.4045758057516826
INSULIN_SIGNALING_PATHWAY,-1.6017092706351772,0.006925852845828002,0.028527540326065,-1.5352719830935133,0.0266115230830913,0.19565642731363725,0.06643728754166389
CHRONIC_MYELOID_LEUKEMIA,-1.8069924390180816,0.001267740917341401,0.013344641235172643,-1.5629476662879287,0.03703794115781697,0.19565642731363725,0.2440447727301529
VASCULAR_SMOOTH_MUSCLE_CONTRACTION,-1.7045268311212836,0.005237642259584932,0.02554961803003889,-1.565096931836732,0.0347381779933532,0.19565642731363725,0.13942989928455152
CALCIUM_SIGNALING_PATHWAY,-1.669531772178026,0.006700645047446702,0.028527540326065,-1.5656098131102996,0.03737270682821648,0.19565642731363725,0.1039219590677265
FC_EPSILON_RI_SIGNALING_PATHWAY,-1.7730834579772605,0.005393808250785988,0.02554961803003889,-1.588342900005249,0.07410837611403913,0.20413520902359097,0.1847405579720116
B_CELL_RECEPTOR_SIGNALING_PATHWAY,-1.6891702740808412,0.0057888585662316,0.02611515142660872,-1.5950072911718596,0.037301925186496374,0.19565642731363725,0.09416298290898162
MAPK_SIGNALING_PATHWAY,-1.6960497626097413,3.260612899828402e-4,0.004412859563677537,-1.6040329540244487,0.007896624474346973,0.13062085596664166,0.0920168085852926
CHEMOKINE_SIGNALING_PATHWAY,-1.873012619353595,1.4794247346578e-4,0.004141131900439349,-1.718924384193852,0.004512421448234548,0.08708181742207023,0.15408823515974301
NEUROTROPHIN_SIGNALING_PATHWAY,-1.9785262010916962,1.1716934388370865e-5,0.0011100253631088188,-1.7809835139383285,0.0026015977687422628,0.07645852665509935,0.19754268715336765
FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,-1.7997183422419094,0.00217447322949683,0.02060027270049629,-1.7943241573895823,0.003958245413009395,0.08708181742207023,0.005394184852327122
LONG_TERM_POTENTIATION,-1.8033570218106518,0.0025955397609584764,0.021143976241843627,-1.8178586397377516,0.010401259823260105,0.1469477382170173,-0.014501617927099808
WNT_SIGNALING_PATHWAY,-1.8866569413584786,1.698696254772638e-4,0.004141131900439349,-1.8498861087440714,9.330349115420852e-4,0.07645852665509935,0.03677083261440717
