gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000167925.15,GHDC,0.7125175708230449,0.04511516706287374,up
ENSG00000131475.6,VPS25,-0.7217208188536002,9.686794923776942e-13,down
ENSG00000067596.10,DHX8,0.5052341354678502,0.011433133474645103,up
ENSG00000175832.12,ETV4,1.4687879835678581,4.458265885586241e-5,up
ENSG00000161682.14,FAM171A2,0.5954578157309293,0.09600597719104464,up
ENSG00000159314.11,ARHGAP27,0.7110271993089055,0.013132708358514057,up
ENSG00000225190.10,PLEKHM1,1.7850191791924717,0.0013702417204856795,up
ENSG00000263503.1,MAPK8IP1P2,-0.8233334000584283,0.01899239127777926,down
ENSG00000108468.14,CBX1,0.6239706033820627,4.843964471266207e-13,up
ENSG00000159199.13,ATP5G1,-0.5351060308050078,0.0025414550422478864,down
ENSG00000108821.13,COL1A1,0.7078678444501567,0.06976298937583547,up
ENSG00000141232.4,TOB1,-0.5186872017131922,1.0207136835416386e-7,down
ENSG00000141198.14,TOM1L1,0.5167724565635833,0.005256344527223291,up
ENSG00000166260.10,COX11,-0.666856872229982,1.5107725543397204e-5,down
ENSG00000224738.1,AC099850.1,-0.7764746809254479,1.607134391733634e-5,down
ENSG00000136485.14,DCAF7,0.520826996731291,6.383203329247182e-8,up
ENSG00000108654.13,DDX5,0.5047622007298717,0.01738382574405686,up
ENSG00000125398.5,SOX9,-0.6452723931375736,0.012534041006960192,down
ENSG00000167861.15,HID1,0.6485687905531887,2.926565029564222e-6,up
ENSG00000132481.6,TRIM47,-0.7377931451640256,3.989216318803221e-6,down
ENSG00000141569.10,TRIM65,-0.5244141204060978,0.033865823058948974,down
ENSG00000204316.12,MRPL38,-0.5534475578916035,2.2188921860789205e-6,down
ENSG00000175931.12,UBE2O,0.950507433473169,4.4584365250818847e-7,up
ENSG00000163597.14,SNHG16,-0.5035198042311506,0.03276690481199192,down
ENSG00000181038.13,METTL23,-0.7011344379620552,0.0073992186200697386,down
ENSG00000234912.11,SNHG20,-1.1395333285193525,0.006269491884195838,down
ENSG00000183077.15,AFMID,-0.506507487951583,0.004561208035090615,down
ENSG00000055483.19,USP36,-0.6800792559235885,3.563438536014572e-5,down
ENSG00000035862.12,TIMP2,0.758429505992838,1.7600530029387782e-9,up
ENSG00000181045.14,SLC26A11,-0.6343977606017939,0.04493058412562584,down
ENSG00000182446.13,NPLOC4,0.5309400915781001,4.250808214682214e-4,up
ENSG00000262660.1,RP13-1032I1.10,0.5636636917676436,0.03474030263635324,up
ENSG00000169738.7,DCXR,-0.57972499297688,1.640023226842509e-4,down
ENSG00000262094.1,AC139099.5,1.3736657181115541,0.006934232995440114,up
ENSG00000067900.7,ROCK1,0.6969259980504653,2.5449874319913077e-6,up
ENSG00000101752.11,MIB1,0.572730209843477,0.0018659426368168917,up
ENSG00000263846.1,CIAPIN1P,-0.5338836502429988,0.06779111236630601,down
ENSG00000141441.15,GAREM1,0.6148435024226137,0.08413653686033166,up
ENSG00000141429.13,GALNT1,0.6283145831752261,3.0622828812632934e-6,up
ENSG00000141428.16,C18orf21,-0.5633218575644773,0.02150123998980187,down
ENSG00000134779.14,TPGS2,0.7610267710224905,0.0038342543153640214,up
ENSG00000154839.9,SKA1,-0.5581922676329099,0.040529276718538704,down
ENSG00000141682.11,PMAIP1,-0.7219563482101264,0.03451588734789538,down
ENSG00000265936.1,RP11-563H6.1,-0.6616583283169196,1.2020069904850553e-7,down
ENSG00000122490.18,PQLC1,0.5462822840904366,0.09768254501329772,up
ENSG00000099864.17,PALM,0.5446043336708659,0.024459934398838555,up
ENSG00000167470.12,MIDN,-0.5786804220547969,6.971631278365947e-6,down
ENSG00000115268.9,RPS15,-0.8511816304411042,2.378205464643615e-16,down
ENSG00000127540.11,UQCR11,-0.5672736078462375,0.0011015151879956392,down
ENSG00000130332.14,LSM7,-0.6086730788322655,2.3034796612752246e-6,down
ENSG00000176619.12,LMNB2,0.9047779533198266,2.6051055776286187e-14,up
ENSG00000099860.8,GADD45B,-0.9298722401576037,1.6688634171149937e-5,down
ENSG00000104964.14,AES,0.7900500843504447,1.1015959245239606e-5,up
ENSG00000223573.6,TINCR,0.7039658236148116,0.015286791162727291,up
ENSG00000105519.15,CAPS,1.1647463935612703,1.5032515082577487e-6,up
ENSG00000076924.11,XAB2,0.6394797783658231,0.00893014582487324,up
ENSG00000142459.8,EVI5L,0.6135484132212327,0.042879735324008204,up
ENSG00000167774.2,CTD-2550O8.5,9.460420117973566,1.748777252236612e-10,up
ENSG00000267855.5,NDUFA7,-4.662800024249136,1.000394023571322e-25,down
ENSG00000099783.11,HNRNPM,0.5287115860339818,0.006248465356159591,up
ENSG00000171469.10,ZNF561,-0.641668259338145,0.008085405705414847,down
ENSG00000130811.11,EIF3G,-0.5210223374564478,8.580127226047485e-12,down
ENSG00000130816.14,DNMT1,0.7238298108722897,0.005614379674674826,up
ENSG00000129347.19,KRI1,0.5414888715557891,0.042669890172039725,up
ENSG00000104774.12,MAN2B1,-0.5017566843148037,0.010075647528225996,down
ENSG00000123154.11,WDR83,-0.6671887229383083,0.0030783822499478265,down
ENSG00000198356.11,ASNA1,-0.5993618008526709,2.081461843962064e-4,down
ENSG00000171223.5,JUNB,-0.6162984188706487,5.2906040437427207e-8,down
ENSG00000179218.13,CALR,1.0274146925565362,1.605226922331098e-30,up
ENSG00000104907.12,TRMT1,-0.7360130865438591,7.935139331501829e-6,down
